Name,Payload,SSIM_Score,MSE_Score,PSNR_Score,Name,Payload,SSIM_Score,MSE_Score,PSNR_Score,SSIM_Difference,MSE_Difference,PSNR_Difference
Stegano12,1 byte payload,0.999999996482765,0.00000417952674897119,101.9195325,Stegano12,777600,0.998363359,0.49454829,51.18871657,0.001636637,0.49454411,50.73081593
Stegano13,1 byte payload,0.999999993317683,0.00000428669410150891,101.8095787,Stegano13,437400,0.996142946,0.500634431,51.13559646,0.003857047,0.500630144,50.67398224
Stegano14,1 byte payload,0.999999992050733,0.00001012731481481480,98.0758605,Stegano14,345600,0.998078592,0.496240234,51.17388388,0.0019214,0.496230107,46.90197662
Stegano15,1 byte payload,0.999999998378017,0.00000159023367529718,106.1161941,Stegano15,1572096,0.996309286,0.508436349,51.0684377,0.003690712,0.508434759,55.0477564
Stegano16,1 byte payload,0.999999985631208,0.00001008236125798390,98.09518106,Stegano16,322345,0.996886613,0.509283722,51.06120566,0.003113373,0.50927364,47.0339754
Stegano17,1 byte payload,0.999999999173847,0.00000190734863281250,105.3265028,Stegano17,1572864,0.995800987,0.501092672,51.13162309,0.004199012,0.501090765,54.19487971
Stegano18,1 byte payload,0.999999998025030,0.00000226056134259259,104.5886406,Stegano18,1382400,0.99710803,0.499723217,51.14350834,0.002891968,0.499720956,53.44513226
Stegano19,1 byte payload,0.999999975963640,0.00001093750000000000,97.74162295,Stegano19,240000,0.996573636,0.500121354,51.14004962,0.00342634,0.500110417,46.60157333
Stegano20,1 byte payload,0.999999965322277,0.00001012731481481480,98.0758605,Stegano20,345600,0.980233284,0.484929832,51.27401459,0.019766681,0.484919705,46.80184591
Stegano21,1 byte payload,0.999999996125165,0.00000532407407407407,100.8683627,Stegano21,540000,0.996859068,0.502475694,51.11965302,0.003140928,0.50247037,49.74870968
Stegano22,1 byte payload,0.999999988259904,0.00000603993733723958,100.3204793,Stegano22,393216,0.997254505,0.495377858,51.1814377,0.002745483,0.495371818,49.1390416
Stegano23,1 byte payload,0.999999994848584,0.00000266311466350880,103.8769049,Stegano23,844875,0.996234844,0.522300256,50.95160122,0.003765151,0.522297593,52.92530368
Stegano24,1 byte payload,0.999999986506744,0.00000656077574612422,99.96125167,Stegano24,438210,0.99740382,0.501739889,51.12601731,0.002596167,0.501733328,48.83523436
Stegano25,1 byte payload,0.999999987647758,0.00000648148148148148,100.0140608,Stegano25,540000,0.996115617,0.477293519,51.34294824,0.003884371,0.477287038,48.67111256
Stegano26,1 byte payload,0.999999992033189,0.00000733333333333333,99.47778935,Stegano26,375000,0.996431376,0.50922,51.06174908,0.003568616,0.509212667,48.41604027
Stegano27,1 byte payload,0.999999992259841,0.00000314915500298382,103.1488632,Stegano27,952636,0.9961252,0.502929239,51.11573476,0.003874792,0.50292609,52.03312844
Stegano28,1 byte payload,0.999999986074045,0.00000918410268561530,98.5004363,Stegano28,340261,0.996515913,0.502716474,51.11757244,0.003484073,0.50270729,47.38286386
Stegano29,1 byte payload,0.999999995372946,0.00000773285994782000,99.24740216,Stegano29,371790,0.996613651,0.514002528,51.02115106,0.003386344,0.513994795,48.2262511
Stegano30,1 byte payload,0.999999999505695,0.00000610351562500000,100.275003,Stegano30,491520,0.996059209,0.498067983,51.15791736,0.003940791,0.498061879,49.11708564
Stegano31,1 byte payload,0.999999994773404,0.00000577740401825382,100.5134762,Stegano31,540900,0.997371273,0.500610209,51.13580659,0.002628722,0.500604432,49.37766961
Stegano32,1 byte payload,0.999999984083819,0.00001266447993313150,97.10493001,Stegano32,266493,0.996872748,0.502289222,51.12126502,0.003127236,0.502276558,45.98366499
Stegano33,1 byte payload,0.999999986825660,0.00000714449016918152,99.59109118,Stegano33,437400,0.996599535,0.502035894,51.12345592,0.003400452,0.50202875,48.46763526
Stegano34,1 byte payload,0.999999988647716,0.00000600137174211248,100.3482983,Stegano34,437400,0.997084665,0.505049154,51.09746713,0.002915324,0.505043153,49.25083117
Stegano35,1 byte payload,0.999999998599295,0.00000666666666666666,99.8917162,Stegano35,375000,0.996443753,0.501193333,51.13075075,0.003556246,0.501186666,48.76096545
Stegano36,1 byte payload,0.999999984084016,0.00001172637030845510,97.43916756,Stegano36,266493,0.996164712,0.49985858,51.1423321,0.003835272,0.499846854,46.29683546
Stegano37,1 byte payload,0.999999979698941,0.00001671810699588470,95.8989326,Stegano37,194400,0.997055156,0.507029964,51.08046735,0.002944824,0.507013246,44.81846525
Stegano38,1 byte payload,0.999999982818189,0.00001354166666666660,96.81408242,Stegano38,240000,0.996466351,0.505320313,51.09513605,0.003533632,0.505306771,45.71894637
Stegano39,1 byte payload,0.999999996070763,0.00000828760859625057,98.94651129,Stegano39,437400,0.99687705,0.504302984,51.10388823,0.003122946,0.504294696,47.84262306
Stegano40,1 byte payload,0.999999995854686,0.00000723379629629629,99.53714086,Stegano40,414720,0.997026412,0.501417523,51.12880854,0.002973584,0.501410289,48.40833232
Stegano41,1 byte payload,0.999999990609583,0.00000800182898948331,99.09891095,Stegano41,437400,0.998174151,0.487311957,51.25273293,0.00182584,0.487303955,47.84617802
Stegano42,1 byte payload,0.999999952481125,0.00002288818359375000,94.53469032,Stegano42,98304,0.997093737,0.506504059,51.08497431,0.002906215,0.506481171,43.44971601
Stegano43,1 byte payload,0.999999999256249,0.00000077777777777778,109.2222483,Stegano43,3375000,0.987046589,0.50472537,51.10025225,0.01295341,0.504724592,58.12199605
Stegano44,1 byte payload,0.999999996800829,0.00000206629435221354,104.9788817,Stegano44,1572864,0.996583112,0.495177746,51.18319242,0.003416885,0.49517568,53.79568928
Stegano45,1 byte payload,0.999999993386043,0.00000714449016918152,99.59109118,Stegano45,437400,0.99743508,0.50038666,51.13774638,0.002564913,0.500379516,48.4533448
Stegano46,1 byte payload,0.999999998012271,0.00000182787577311197,105.5113368,Stegano46,1572864,0.996316528,0.506626129,51.08392776,0.00368347,0.506624301,54.42740904
Stegano47,1 byte payload,0.999999990018058,0.00000542981252857796,100.7829553,Stegano47,437400,0.997606642,0.508409636,51.06866587,0.002393348,0.508404206,49.71428943
Stegano48,1 byte payload,0.999999990609820,0.00000628715134887974,100.1462645,Stegano48,437400,0.997840416,0.50553155,51.09332096,0.002159575,0.505525263,49.05294354
Stegano49,1 byte payload,0.999999990016618,0.00000571559213534522,100.5601913,Stegano49,437400,0.997779413,0.501247714,51.13027956,0.002220577,0.501241998,49.42991174
Stegano50,1 byte payload,0.999999996071001,0.00000685871056241426,99.76837885,Stegano50,437400,0.997508089,0.497222794,51.16529331,0.002491907,0.497215935,48.60308554
